campaign,backend,clients,family,fanout,group,leaf_bits,partitions,queries_per_client,row_bytes,rows,seed,repeats,verified_answers,service_cpu_ms,service_min_ms,service_max_ms,server_client_setup_ms,global_publish_build_cpu_ms,external_canonical_fixture_cpu_ms,logical_index_bytes,metadata_state_bytes,client_setup_cpu_ms,client_online_cpu_ms,complete_client_process_cpu_ms,setup_download_bytes,query_upload_bytes,query_download_bytes,p50_first_answer_wall_ms,p95_first_answer_wall_ms,max_client_rss_bytes,rss_qualified,budget_failures,median_private_reads,projected_G1_cpu_ms,projected_G16_cpu_ms,projected_G256_cpu_ms,projected_G4096_cpu_ms,block,distribution,field_bits,key_layout,canonical_file,verifier,finite_d,finite_m
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,32,1024,1,5,80,0.9056193124999996,0.8831269374999997,0.9811578124999996,0.126924,22.831406000000005,0,250880,71,6.629238,0.7002390000000001,67.4175,97,6810,3003,166.308105,180.512401,,False,,5.0,23.737025312500005,2.3325821875,0.9948044921874997,0.9111933862304683,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,2,8,4,1,32,1024,1,5,80,1.0142661250000014,0.9981333125000006,1.0358262500000002,0.1207874375,37.216204,0,463360,72,6.640198,0.730009,67.06700000000001,98,6810,4665,164.862558,170.579252,,False,,5.0,38.230470125,3.340278875000001,1.1596419218750014,1.023352112304689,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,2,8,4,1,32,1024,1,5,80,14.027217125,13.811878562500002,14.145062187500004,13.233374125,25.620266999999984,0,250880,103751,12.773029999999999,0.739843,73.3115,535415,610,9301,183.444545,189.102143,,False,,5.0,39.647484124999984,15.628483812499999,14.12729629296875,14.033472072998046,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,2,8,4,1,32,1024,1,5,80,21.948885812499995,21.755470937500014,22.993390125000005,21.018660624999992,40.14996599999989,0,463360,156872,14.767960500000001,0.7906215,75.93599999999999,960377,608,15938,194.1343605,239.368111,,False,,5.0,62.09885181249989,24.45825868749999,22.105721617187495,21.958688050292963,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,32,1024,1,5,80,0.7475880625,0.7363330000000005,0.7707736875000004,0.1129240625,17.114988999999994,0,200704,72,6.6547965,0.556848,67.148,98,2376,3966,165.5579875,173.327899,,False,,4.0,17.862577062499994,1.8172748749999996,0.8144434882812499,0.7517665266113281,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,4,8,4,1,32,1024,1,5,80,0.8559289999999997,0.8438566875000003,0.8691734375000002,0.1314014375,26.95955599999999,0,367616,72,6.614814,0.5821645,66.87799999999999,98,2376,6579,165.4664885,170.159252,,False,,4.0,27.81548499999999,2.5409012499999992,0.9612397656249997,0.8625109228515622,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,4,8,4,1,32,1024,1,5,80,10.804390937499997,10.654186312500013,10.816953874999992,9.979827499999997,19.280471000000034,0,200704,66632,9.831859,0.617496,70.189,414910,482,13709,176.77477249999998,183.699579,,False,,4.0,30.08486193750003,12.009420375,10.879705277343747,10.809098083740231,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,4,8,4,1,32,1024,1,5,80,18.821206437500003,18.6973693125,18.864191999999996,17.8172101875,27.940835000000106,0,367616,108360,11.3090975,0.6674725,71.965,748735,482,24140,186.974177,193.439893,,False,,4.0,46.76204143750011,20.56750862500001,18.930350324218754,18.828027930419925,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,32,1024,1,5,80,0.5491626875000001,0.5371223124999998,0.5622163750000003,0.10615025,10.150246999999998,0,100352,72,6.6442475000000005,0.3142195,67.1335,98,292,6684,164.892561,171.30381,,False,,2.0,10.6994096875,1.183553125,0.5888120898437501,0.5516407751464845,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,32,1024,1,5,80,0.6679834374999999,0.6481092500000001,0.72849725,0.1250410625,15.348308000000003,0,181632,73,6.610787500000001,0.337615,66.9255,99,292,11764,165.0293125,170.281291,,False,,2.0,16.0162914375,1.6272526875,0.7279377656249999,0.6717305830078124,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,32,1024,1,5,80,5.852524250000001,5.813335250000001,5.9628208749999985,5.0562505,10.235366999999982,0,100352,27208,7.7753025000000004,0.3716625,68.077,202558,223,25666,171.110097,176.192502,,False,,2.0,16.087891249999984,6.4922346875,5.892506152343751,5.855023118896486,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,16,8,4,1,32,1024,1,5,80,9.335374437500006,9.240554124999996,9.351882375,8.140167750000002,15.381510000000048,0,181632,47529,8.311497,0.44349150000000004,68.5445,365119,222,45989,174.6993555,182.739605,,False,,2.0,24.716884437500056,10.296718812500009,9.395458460937506,9.33912968896485,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,96,1024,1,5,80,1.0677465000000008,1.0376919999999994,1.1064693749999994,0.1324874375,35.16957299999999,0,578560,72,6.5899339999999995,0.7011354999999999,67.13749999999999,98,6810,5564,165.7363035,169.83736,,False,,5.0,36.23731949999999,3.2658448125,1.2051276445312509,1.076332821533204,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,2,8,4,1,96,1024,1,5,80,1.3321021249999991,1.3024151249999987,1.3452265624999988,0.1293571875,63.97350400000002,0,1118720,72,6.6925835,0.7351295,67.3885,98,6810,9780,165.97877,180.186909,,False,,5.0,65.30560612500003,5.330446125,1.5819986249999993,1.347720656249999,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,2,8,4,1,96,1024,1,5,80,28.4016719375,28.176618250000015,28.67420262500001,27.373423874999997,37.96477399999981,0,578560,185672,15.2385635,0.7652855000000001,75.728,1190777,609,19535,198.30515450000001,213.882849,,False,,5.0,66.3664459374998,30.77447031249999,28.5499718359375,28.410940681152344,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,2,8,4,1,96,1024,1,5,80,54.04675143749998,53.51976062500004,54.55774975,52.6885290625,66.92513399999939,0,1118720,320712,20.0636395,0.8410869999999999,80.362,2271097,608,36415,227.43259849999998,235.213483,,False,,5.0,120.97188543749937,58.22957231249994,54.308177742187475,54.063090581542944,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,96,1024,1,5,80,0.9124113749999996,0.8888134374999994,0.9499069375000004,0.1266609375,26.804667000000002,0,462848,72,6.638847500000001,0.5721620000000001,67.3005,98,2376,8067,165.6016175,184.687854,,False,,4.0,27.717078375,2.5877030624999997,1.0171171054687496,0.9189554831542964,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,4,8,4,1,96,1024,1,5,80,1.1668806249999994,1.1563712499999994,1.177503187499999,0.12351725,46.77216400000002,0,891904,72,6.6174475,0.5988505,67.263,98,2376,14768,165.351626,171.371915,,False,,4.0,47.939044625000015,4.090140875,1.3495843906249996,1.178299610351562,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,4,8,4,1,96,1024,1,5,80,24.05858243749999,23.796171375,24.327385,22.889380999999997,27.968858999999952,0,462848,132168,11.954804,0.662127,72.42949999999999,939199,483,30092,192.26944350000002,199.294603,,False,,4.0,52.027441437499945,25.806636124999986,24.167835792968738,24.065410772216786,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,4,8,4,1,96,1024,1,5,80,43.055309437499986,42.82237656249999,43.140164625000004,41.333012374999996,48.883253000000195,0,891904,239432,14.579694499999999,0.753573,74.9915,1797311,483,56908,212.86561849999998,219.358308,,False,,4.0,91.93856243750018,46.11051275,43.246259644531236,43.06724382543944,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,96,1024,1,5,80,0.7379985625000001,0.7201330625000003,0.7388654375000002,0.12880925000000001,15.733882999999999,0,231424,73,6.6950145,0.333101,67.33949999999999,99,292,14876,166.048757,184.680609,,False,,2.0,16.4718815625,1.72136625,0.79945904296875,0.7418398425292969,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,96,1024,1,5,80,1.0435239374999994,1.0045105000000005,1.0531836249999995,0.118615375,25.33951199999999,0,443776,73,6.622523,0.3915035,67.017,99,292,28152,165.226518,172.296183,,False,,2.0,26.383035937499987,2.627243437499999,1.1425064062499994,1.0497103417968743,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,96,1024,1,5,80,12.077794687500004,11.996083749999999,12.158608687500001,10.554535125000001,15.632839999999959,0,231424,59977,8.645052,0.4457105,68.91999999999999,464704,224,58437,178.6340185,183.996655,,False,,2.0,27.71063468749996,13.054847187500002,12.138860468750003,12.081611298828129,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,16,8,4,1,96,1024,1,5,80,21.496438437499986,21.3403236875,21.61211518749999,19.0235983125,25.94189599999993,0,443776,113065,10.295949499999999,0.5871930000000001,70.40449999999998,889408,223,111523,187.8482565,202.785437,,False,,2.0,47.43833443749992,23.11780693749998,21.597773968749987,21.502771908203112,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,32,16384,1,5,80,8.075139999999992,5.778046187499991,8.300338625000007,0.129192,423.63857199999995,0,5619712,72,6.6209275000000005,1.623559,68.03899999999999,98,201278,4223,173.3996575,180.570028,,False,,7.0,431.71371199999993,34.55255074999999,9.729978171874992,8.17856738574218,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,2,8,4,1,32,16384,1,5,80,15.273149812500003,11.469726750000016,16.110270062500003,0.126934625,785.865524,0,10608640,73,6.699816500000001,1.774821,68.405,99,201278,6650,181.997798,193.445704,,False,,7.0,801.1386738125001,64.38974506250001,18.342937015625004,15.465011512695316,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,2,8,4,1,32,16384,1,5,80,293.8565759375002,289.4104040000002,300.26500000000044,292.7395143750004,482.644171999993,0,5619712,2322504,136.5138045,1.0378565,196.92849999999999,11990393,961,13064,561.878559,584.412761,,False,,7.0,776.5007479374932,324.0218366874998,295.7419047343752,293.9744089873049,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,2,8,4,1,32,16384,1,5,80,479.3154590000002,478.0323716875003,481.6877793124999,477.95342443750025,826.6906099999978,0,10608640,3569737,185.21549599999997,1.0943565,246.026,21968212,959,22814,779.6780054999999,807.09727,,False,,7.0,1306.006068999998,530.983622125,482.5447191953127,479.5172877622072,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,32,16384,1,5,80,1.9430945000000004,1.9086314375,2.0806888125000005,0.12442175,211.79603299999997,0,3211264,73,6.5986695,0.66344,66.80799999999999,99,33096,3976,165.7282485,171.230064,,False,,4.0,213.73912749999997,15.180346562499999,2.7704227539062503,1.994802515869141,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,4,8,4,1,32,16384,1,5,80,3.561597875000004,3.0795720624999934,3.7451460000000023,0.1187770625,382.19949399999996,0,6045696,73,6.587971,0.698342,66.95549999999999,99,33096,6749,167.5624525,172.543525,,False,,4.0,385.761091875,27.44906625,5.054564648437504,3.6549082983398478,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,4,8,4,1,32,16384,1,5,80,154.14193637500006,152.75328775,155.00433756250013,153.32887006249996,231.8447759999981,0,3211264,1065033,56.9851225,0.6407425,117.055,6637178,526,13734,355.377583,362.410859,,False,,4.0,385.98671237499815,168.63223487499994,155.04758003125005,154.19853910351569,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,4,8,4,1,32,16384,1,5,80,294.2496010624995,290.08309068750003,295.73739906249995,293.2143952499996,400.97502799999893,0,6045696,1773641,82.51066850000001,0.696727,142.65299999999996,12306041,525,24812,514.246913,524.307836,,False,,4.0,695.2246290624985,319.3105403124994,295.8159097656245,294.3474953564448,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,32,16384,1,5,80,1.3818400625,1.3332513750000023,1.4366802500000004,0.13630825,147.69228700000002,0,2408448,74,6.5934194999999995,0.46569649999999996,66.82849999999999,100,4854,10038,165.72780749999998,171.778333,,False,,3.0,149.07412706250003,10.612608000000002,1.95876305859375,1.4178977497558594,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,32,16384,1,5,80,1.9534956875000011,1.8602639375000058,2.0054159374999987,0.1216365625,263.439892,0,4512768,75,6.629417999999999,0.4999215,66.83349999999999,101,4854,18258,167.131392,177.652814,,False,,3.0,265.39338768749997,18.4184889375,2.982557765625001,2.0178120673828137,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,32,16384,1,5,80,120.95055256250004,119.8679918749999,121.46514124999997,119.7408399375,151.43226000000004,0,2408448,651338,28.793215,0.5683130000000001,89.0565,4857228,366,38535,302.20205450000003,307.502168,,False,,3.0,272.3828125625001,130.41506881250004,121.54208482812504,120.98752332910159,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,16,8,4,1,32,16384,1,5,80,201.20906731250014,200.96702087499995,204.31874787500013,199.40429975000004,267.35423699999774,0,4512768,1177419,42.298965,0.7013944999999999,102.7815,9065871,366,71406,393.6575155,421.6986,,False,,3.0,468.56330431249785,217.918707125,202.2534198007814,201.27433934301772,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,96,16384,1,5,80,15.944617875000016,13.69694943750003,16.53012087499998,0.128407875,743.8530889999998,0,12959744,73,6.65909,1.788862,68.271,99,201278,7798,182.5196095,189.425242,,False,,7.0,759.7977068749999,62.4354359375,18.850294003906267,16.126222633056656,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,2,8,4,1,96,16384,1,5,80,27.302194500000045,26.663829437500016,28.34044399999995,0.133533625,1485.0830759999994,0,25288704,73,6.569184,1.792649,67.7065,99,201278,13831,192.874476,198.264593,,False,,7.0,1512.3852704999995,120.11988675,33.103300265625045,27.664763610351606,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,2,8,4,1,96,16384,1,5,80,611.1957271874998,607.652629687499,614.1645583750001,609.70459025,795.8429730000025,0,12959744,4157513,188.57973800000002,1.0680580000000002,249.26349999999996,26670431,958,27396,912.2227255,936.288646,,False,,7.0,1407.0387001875024,660.9359129999999,614.304488800781,611.3900247883298,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,2,8,4,1,96,16384,1,5,80,1264.2755916875024,1254.105231375001,1269.0699806249984,1262.2980097500026,1559.3790330000265,0,25288704,7239753,305.64302299999997,1.1662915,366.6015,51328420,959,51485,1649.3755565000001,1726.696459,,False,,7.0,2823.6546246875287,1361.736781250004,1270.3669160351587,1264.656299459231,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,96,16384,1,5,80,4.241457750000006,3.3763085000000004,4.3345364374999935,0.1347810625,385.2330290000001,0,7405568,73,6.60754,0.6865325,66.9695,99,33096,8077,167.7364705,175.715671,,False,,4.0,389.4744867500001,28.318522062500012,5.746274269531256,4.335508782470709,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,4,8,4,1,96,16384,1,5,80,7.814639812500005,6.604066562499997,8.323195124999996,0.1350815625,723.5984080000001,0,14434304,73,6.628124,0.7729485,67.1875,99,33096,14936,172.4651325,197.513718,,False,,4.0,731.4130478125,53.03954031250001,10.641196093750004,7.99129958007813,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,4,8,4,1,96,16384,1,5,80,373.9187311875002,370.04468493750034,377.8638818750002,372.751556125,398.60946299999614,0,7405568,2113609,84.8656395,0.681644,145.144,15025784,525,30121,595.614224,608.676714,,False,,4.0,772.5281941874964,398.831822625,375.47579940234397,374.01604795092794,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,4,8,4,1,96,16384,1,5,80,660.8435729375001,660.6281079999997,667.1937154374997,659.1524532500003,739.916412000015,0,14434304,3870793,142.490629,0.8023695,202.742,29083236,525,57575,926.402294,936.137231,,False,,4.0,1400.7599849375151,707.088348687501,663.7338714218752,661.0242165927735,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,96,16384,1,5,80,2.2667296875000025,2.1805275625000053,2.405453250000001,0.1322943125,281.925141,0,5554176,75,6.579205,0.4958085,66.9195,101,4854,22326,166.78425099999998,171.971497,,False,,3.0,284.1918706875,19.887051000000003,3.3679997695312522,2.3355590676269555,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,96,16384,1,5,80,3.6030255624999965,3.543603750000013,4.074806312500008,0.1352148125,522.9874200000002,0,10804224,75,6.6218445,0.5929545,66.96350000000001,101,4854,42838,168.179946,172.994375,,False,,3.0,526.5904455625001,36.289739312500004,5.645945171874997,3.730708038085934,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,96,16384,1,5,80,268.36405381249995,267.98233737499993,271.22619424999993,266.0714203124999,288.2118820000014,0,5554176,1437771,49.4303105,0.7059245000000001,109.49499999999999,11148685,366,87676,466.649741,479.98635,,False,,3.0,556.5759358125014,286.37729643750004,269.48988147656246,268.4344180415039,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,16,8,4,1,96,16384,1,5,80,472.8235536874997,471.51801856250006,482.17709775000003,469.0246160624999,537.4231820000005,0,10804224,2750283,87.666501,0.9650730000000001,148.378,21648783,366,169716,704.138861,728.332467,,False,,3.0,1010.2467356875002,506.41250256249975,474.9228629921872,472.9547605190427,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,32,65536,1,5,80,35.634016750000036,34.160031375000045,40.56032956250006,0.141885625,1946.9299539999993,0,22478848,73,6.726776,4.36017,71.5735,99,803390,4223,207.875715,256.687167,,False,,7.0,1982.5639707499993,157.31713887499998,43.23921188281253,36.109341445800816,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,2,8,4,1,32,65536,1,5,80,60.96326399999985,57.71114587499999,61.401277874999856,0.1346888125,3414.9470220000003,0,42434560,74,6.6743565,4.400665500000001,71.09,100,803390,6700,231.89550450000002,253.291002,,False,,7.0,3475.9102860000003,274.3974528749999,74.30290080468735,61.796991300292824,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,2,8,4,1,32,65536,1,5,80,1266.7240125624996,1264.4876232500044,1281.1959404999961,1265.511756124999,2125.905970999913,0,22478848,9289801,504.7884925,1.0569055,568.2705,47961213,991,13087,1834.56078,1977.197962,,False,,7.0,3392.6299835624122,1399.5931357499942,1275.028332761718,1267.2430325749508,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,32,65536,1,5,80,19.829257562500015,19.282288375,21.164423687500015,0.1280855,1277.3279449999998,0,19267584,74,6.582153,2.227936,68.17099999999999,100,295404,5976,187.141433,194.69913,,False,,6.0,1297.1572025624998,99.662254125,24.818819847656265,20.14110520532228,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,4,8,4,1,32,65536,1,5,80,33.09283943750002,32.7223771875,34.88098531250001,0.128298875,2379.040067000001,0,36274176,74,6.6175615,2.452222,68.78899999999999,100,295404,10126,201.874909,210.03402,,False,,6.0,2412.132906437501,181.78284362500005,42.385964699218775,33.67365976635744,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,4,8,4,1,32,65536,1,5,80,935.5024106875003,928.5372709374975,950.143860625001,934.2522987500006,1432.8022399999845,0,19267584,6389834,311.148961,0.9326650000000001,371.9325,39822448,841,20610,1335.4844175,1403.987563,,False,,6.0,2368.304650687485,1025.0525506874992,941.0992944375002,935.8522159218753,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,32,65536,1,5,80,4.334096125000007,3.4220888125000095,4.7493205625,0.1330125625,611.852926,0,9633792,74,6.5534735,0.522609,67.0625,100,18678,10041,171.026274,247.447401,,False,,3.0,616.187022125,42.57490400000001,6.7241466171875075,4.483474280761726,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,32,65536,1,5,80,6.245958249999989,6.0709954374999935,6.491783624999997,0.1242558125,1108.9608049999997,0,18100224,75,6.6857495,0.6200654999999999,67.44749999999999,101,18678,18306,173.6569715,185.113031,,False,,3.0,1115.2067632499998,75.55600856249997,10.577836394531237,6.516700634033191,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,32,65536,1,5,80,485.61698275000026,483.5434828125003,488.24143587500026,484.3685221250003,620.8688400000001,0,9633792,2605130,98.786046,0.5698165,158.9125,19428594,393,38530,718.2925359999999,733.974174,,False,,3.0,1106.4858227500004,524.4212852500002,488.04225165625024,485.76856205664086,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,json-tags,2,16,8,4,1,32,65536,1,5,80,812.0324327499995,808.5947635,821.0760463750003,810.1541171874998,1136.4287390000045,0,18100224,4721739,155.0048285,0.7145505,215.43599999999998,36361443,393,71601,1092.6374785,1109.291822,,False,,3.0,1948.461171750004,883.0592289374998,816.4716075117183,812.309881172607,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,2,8,4,1,96,65536,1,5,80,60.59651981250002,59.33577887499996,60.89434381249988,0.1508921875,3603.303036999998,0,51838976,74,6.642706499999999,5.0348489999999995,71.34100000000001,100,803390,7849,229.987225,261.31387,,False,,7.0,3663.899556812498,285.80295962499986,74.67192230078126,61.4762324680176,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,4,8,4,1,96,65536,1,5,80,36.138348250000014,35.50393543749999,38.81436712500003,0.135944375,2528.548532999999,0,44433408,74,6.604016,2.5699155,69.0745,100,295404,12119,205.754186,241.939316,,False,,6.0,2564.6868812499993,194.17263156249996,46.01549095703126,36.755669669189466,,,,,,,,
pir-cold-search-screen-v1,dense,16,binary-tags,2,16,8,4,1,96,65536,1,5,80,7.726030062499995,7.276583062500018,8.790408500000025,0.126222,1188.735256,0,22216704,75,6.6050355,0.676949,67.34,101,18678,22332,174.98236,224.144409,,False,,3.0,1196.4612860625,82.0219835625,12.369527156249994,8.01624863085937,,,,,,,,
pir-cold-search-screen-v1,dense,16,json-tags,2,16,8,4,1,96,65536,1,5,80,11.946587249999995,11.72480031249998,12.854852937500038,0.1319079375,2320.6479120000004,0,43266048,75,6.6321075,0.9447785,67.377,101,18678,42888,178.49406299999998,215.266621,,False,,3.0,2332.5944992500004,156.98708175000002,21.011618156249995,12.51315168164062,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,binary-tags,2,16,8,4,1,96,65536,1,5,80,1084.149112374999,1082.4953390625008,1088.3440110624992,1081.837336249999,1237.3120480000107,0,22216704,5750859,178.20169750000002,0.7205985,238.89549999999997,44594402,393,87681,1384.4944125,1405.188755,,False,,3.0,2321.46116037501,1161.4811153749997,1088.982362562499,1084.4511905117179,,,,,,,,
pir-cold-search-screen-v1,dense,16,posting,2,4,4,4,1,32,256,1,5,80,0.3375254375000001,0.3087578125,0.3418073125,0.1346926875,9.716279999999998,0,81567,37,6.6667375,0.16142600000000001,66.767,59,342,843,163.911633,169.829683,,False,,1.0,10.053805437499998,0.9447929374999999,0.37547965625000007,0.3398975761718751,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,posting,2,4,4,4,1,32,256,1,5,80,4.149470624999999,4.074411249999998,4.178541750000001,3.949307374999999,10.697659000000002,0,81567,28804,8.203121,0.16737649999999998,68.03450000000001,169954,120,2834,169.312252,173.31421,,False,,1.0,14.847129625,4.818074312499999,4.191258355468749,4.1520823581542965,,,,,,,,
pir-cold-search-screen-v1,dense,16,posting,2,4,4,4,1,32,1024,1,5,80,0.36603700000000017,0.35005143750000006,0.38663074999999997,0.1156123125,29.925801999999994,0,333987,38,6.6090085,0.1649015,66.52599999999998,60,1110,858,164.00453199999998,168.622425,,False,,1.0,30.291838999999992,2.236399625,0.48293466406250013,0.3733431040039064,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,posting,2,4,4,4,1,32,1024,1,5,80,15.488648562499998,15.433137437500006,15.638349,15.286815499999998,31.97980899999999,0,333987,116489,12.401024,0.16302299999999997,72.0845,694951,122,2899,183.00250799999998,192.199694,,False,,1.0,47.468457562499985,17.487386625,15.613569691406248,15.496456133056638,,,,,,,,
pir-cold-search-screen-v1,dense,16,hash,2,4,4,4,1,32,256,1,5,80,0.5971474999999999,0.5918816249999997,0.6054985625000002,0.1224763125,7.087632000000002,0,43290,87,6.631133,0.427637,66.71799999999999,117,450,4617,165.05338999999998,169.43333,,False,,3.0,7.684779500000002,1.0401245000000001,0.6248335625,0.59887787890625,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,hash,2,4,4,4,1,32,256,1,5,80,2.936358437499999,2.893116249999998,2.9753854374999995,2.22990475,7.388657000000002,0,43290,13188,7.2771285,0.48639600000000005,67.564,88479,335,16851,167.8999035,174.78339,,False,,3.0,10.325015437500001,3.3981494999999993,2.965220378906249,2.9381623088378896,,,,,,,,
pir-cold-search-screen-v1,dense,16,hash,2,4,4,4,1,32,1024,1,5,80,0.70612725,0.6851418125000007,0.7372242499999997,0.1189720625,20.157846000000006,0,259056,87,6.644696,0.440589,67.416,117,1026,6668,165.041153,181.561733,,False,,3.0,20.863973250000008,1.9659926250000004,0.7848688359375,0.7110485991210937,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,hash,2,4,4,4,1,32,1024,1,5,80,13.148038000000001,13.028111499999996,13.316318562500003,12.241764562499995,21.29418199999995,0,259056,73359,9.4739805,0.5124295,70.0615,525004,352,25065,181.0919135,196.577869,,False,,3.0,34.44221999999995,14.478924374999998,13.231218398437502,13.153236774902345,,,,,,,,
pir-cold-search-screen-v1,dense,16,radix,2,4,4,4,1,32,256,1,5,80,0.8252063749999998,0.8174971875,0.841292875,0.12692075,5.362171999999999,0,24206,82,6.670624500000001,0.45518349999999996,67.2295,112,282,15906,165.4810975,177.912139,,False,,3.0,6.187378374999999,1.1603421249999997,0.8461523593749998,0.8265154990234373,,,,,,,,
pir-cold-search-screen-v1,singlepass,16,radix,2,4,4,4,1,32,256,1,5,80,2.9207513125,2.8486870625000003,2.9222932500000005,1.3194756874999995,5.545811999999998,0,24206,6772,6.9868495,0.5891375,67.8135,48863,306,62022,168.5150245,173.259827,,False,,3.0,8.466563312499998,3.2673645625,2.942414640625,2.9221052705078128,,,,,,,,
pir-cold-search-screen-v1,dense,16,radix,2,4,4,4,1,32,1024,1,5,80,0.8470759375000001,0.8245033125,0.9011241875,0.117059125,10.476989999999997,0,91420,83,6.63535,0.45585,66.794,113,354,16290,165.13302149999998,172.921433,,False,,3.0,11.324065937499997,1.5018878125,0.8880016796875001,0.8496337963867189,,,,,,,,
