family,backend,rows,row_bytes,group,field_bits,key_layout,leaf_bits,partitions,count_only,distribution,update_every,mutation,queries_per_run,runs,verified_answers,phase_meter_complete,online_server_mean_ms,online_server_p95_ms,client_p95_ms,total_server_plus_lifecycle_ms,all_participant_ms,upload_max,download_max,index_bytes,caps,raw
authenticated,path,32,16,4,0,contiguous,0,4,False,shuffled,0,value,12,1,12,True,3.4700583333333332,3.5217,4.927049,9.580501833333331,14.437696833333332,204926,203910,32768,pass,../../../target/pir-index-compositions-smoke-v1/023-authenticated-path-n32-g4-r0/result.json
authenticated,path,32,16,4,0,contiguous,0,4,False,shuffled,4,value,12,1,12,True,3.402589416666667,3.500168,4.899918,10.398645666666667,15.170280166666666,204932,203910,32768,pass,../../../target/pir-index-compositions-smoke-v1/024-authenticated-path-n32-g4-r0/result.json
authenticated,path,32,16,4,0,contiguous,0,4,False,shuffled,4,delete,12,1,12,True,3.5559621666666668,3.794768,5.331218,10.773420416666665,15.844640916666664,204930,203910,32768,pass,../../../target/pir-index-compositions-smoke-v1/025-authenticated-path-n32-g4-r0/result.json
authenticated,path,32,16,4,0,contiguous,0,4,False,shuffled,4,insert,12,1,12,True,3.7548579166666665,3.986179,5.282643,11.32312125,16.483159,204934,203910,32768,pass,../../../target/pir-index-compositions-smoke-v1/026-authenticated-path-n32-g4-r0/result.json
posting,singlepass,32,32,4,0,contiguous,0,4,False,shuffled,4,value,12,1,12,True,0.19950375,0.238232,0.238865,33.19990491666667,33.39536391666667,108,1826,5115,pass,../../../target/pir-index-compositions-smoke-v1/027-posting-singlepass-n32-g4-r0/result.json
bitmap,path,32,32,16,0,contiguous,0,4,False,clustered,0,value,12,1,12,True,3.42262375,3.719559,7.86319,27.160461,34.227277750000006,36332,35541,7533,pass,../../../target/pir-index-compositions-smoke-v1/028-bitmap-path-n32-g16-r0/result.json
wavelet,path,32,32,16,0,contiguous,0,4,True,clustered,0,value,12,1,12,True,3.9464563333333333,4.0614230000000004,5.483889,9.94663725,15.321827333333331,88268,87020,3648,pass,../../../target/pir-index-compositions-smoke-v1/029-wavelet-path-n32-g16-r0/result.json
radix,dense,256,96,1,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,2.8903048958333333,3.0592119999999996,1.602937,7.1877615937499995,8.69075425,1602,10890,108968,pass,../../../target/pir-index-compositions-screen-v1/000-radix-dense-n256-g1-r0/result.json;../../../target/pir-index-compositions-screen-v1/000-radix-dense-n256-g1-r1/result.json;../../../target/pir-index-compositions-screen-v1/000-radix-dense-n256-g1-r2/result.json
radix,dense,256,96,2,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,1.3218950208333333,1.385508,0.8647,5.248289593750001,6.0573017812500005,770,6050,72928,pass,../../../target/pir-index-compositions-screen-v1/001-radix-dense-n256-g2-r0/result.json;../../../target/pir-index-compositions-screen-v1/001-radix-dense-n256-g2-r1/result.json;../../../target/pir-index-compositions-screen-v1/001-radix-dense-n256-g2-r2/result.json
radix,dense,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.7479253645833334,0.828303,0.541248,4.73848271875,5.24506653125,414,3630,58512,pass,../../../target/pir-index-compositions-screen-v1/002-radix-dense-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/002-radix-dense-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/002-radix-dense-n256-g4-r2/result.json
radix,dense,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.5358077083333334,0.598453,0.375671,4.49208021875,4.8329916875,276,3732,87100,pass,../../../target/pir-index-compositions-screen-v1/003-radix-dense-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/003-radix-dense-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/003-radix-dense-n256-g8-r2/result.json
radix,path,256,96,1,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,3.08348815625,3.312078,4.366506,6.514638749999999,10.601992374999998,265379,264537,108968,pass,../../../target/pir-index-compositions-screen-v1/004-radix-path-n256-g1-r0/result.json;../../../target/pir-index-compositions-screen-v1/004-radix-path-n256-g1-r1/result.json;../../../target/pir-index-compositions-screen-v1/004-radix-path-n256-g1-r2/result.json
radix,path,256,96,2,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,1.57749853125,1.68103,2.253476,4.17956828125,6.2687332187500004,132715,132295,72928,pass,../../../target/pir-index-compositions-screen-v1/005-radix-path-n256-g2-r0/result.json;../../../target/pir-index-compositions-screen-v1/005-radix-path-n256-g2-r1/result.json;../../../target/pir-index-compositions-screen-v1/005-radix-path-n256-g2-r2/result.json
radix,path,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.9551692916666666,1.037393,1.348983,3.55249096875,4.81729040625,79629,79377,58512,pass,../../../target/pir-index-compositions-screen-v1/006-radix-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/006-radix-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/006-radix-path-n256-g4-r2/result.json
radix,path,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.77575384375,0.849962,1.085923,3.61474803125,4.63116975,82606,82438,87100,pass,../../../target/pir-index-compositions-screen-v1/007-radix-path-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/007-radix-path-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/007-radix-path-n256-g8-r2/result.json
hash,dense,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.83669359375,0.9010070000000001,0.56895,4.84948815625,5.3730660624999995,414,6966,109460,pass,../../../target/pir-index-compositions-screen-v1/008-hash-dense-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/008-hash-dense-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/008-hash-dense-n256-g4-r2/result.json
hash,path,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,1.28361203125,1.393105,1.767753,4.2604584999999995,5.89045696875,154797,154545,109460,pass,../../../target/pir-index-compositions-screen-v1/009-hash-path-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/009-hash-path-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/009-hash-path-n256-g4-r2/result.json
hash,singlepass,256,96,4,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,0.59246075,0.6437999999999999,0.674857,4.87856015625,5.4833065625,353,27462,109460,pass,../../../target/pir-index-compositions-screen-v1/010-hash-singlepass-n256-g4-r0/result.json;../../../target/pir-index-compositions-screen-v1/010-hash-singlepass-n256-g4-r1/result.json;../../../target/pir-index-compositions-screen-v1/010-hash-singlepass-n256-g4-r2/result.json
bitmap,dense,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,7.682864020833334,7.916283,12.784629,18.19158671875,29.931830374999997,3874,5132,157590,pass,../../../target/pir-index-compositions-screen-v1/011-bitmap-dense-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/011-bitmap-dense-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/011-bitmap-dense-n256-g8-r2/result.json
bitmap,dense,256,96,32,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,7.786656104166667,8.402672,12.850416,17.86337903125,29.4086614375,3970,5156,154500,pass,../../../target/pir-index-compositions-screen-v1/012-bitmap-dense-n256-g32-r0/result.json;../../../target/pir-index-compositions-screen-v1/012-bitmap-dense-n256-g32-r1/result.json;../../../target/pir-index-compositions-screen-v1/012-bitmap-dense-n256-g32-r2/result.json
bitmap,path,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,5.7287143125,6.040197,14.406844,15.443343562499999,28.538678875,116371,114927,157590,pass,../../../target/pir-index-compositions-screen-v1/013-bitmap-path-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/013-bitmap-path-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/013-bitmap-path-n256-g8-r2/result.json
bitmap,path,256,96,32,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,5.671196302083334,5.891241,14.15589,15.098902625,28.10664665625,116465,114951,154500,pass,../../../target/pir-index-compositions-screen-v1/014-bitmap-path-n256-g32-r0/result.json;../../../target/pir-index-compositions-screen-v1/014-bitmap-path-n256-g32-r1/result.json;../../../target/pir-index-compositions-screen-v1/014-bitmap-path-n256-g32-r2/result.json
wavelet,dense,256,96,8,0,contiguous,0,4,False,shuffled,0,value,32,3,96,True,15.030429291666668,15.419187,5.956862,19.204614906249997,24.85066315625,9576,22536,107326,pass,../../../target/pir-index-compositions-screen-v1/015-wavelet-dense-n256-g8-r0/result.json;../../../target/pir-index-compositions-screen-v1/015-wavelet-dense-n256-g8-r1/result.json;../../../target/pir-index-compositions-screen-v1/015-wavelet-dense-n256-g8-r2/result.json
