campaign,backend,block,canonical_file,clients,distribution,family,fanout,field_bits,finite_d,finite_m,group,hot_records,key_layout,leaf_bits,partitions,queries_per_client,row_bytes,rows,seed,verifier,workload,repeats,verified_answers,service_cpu_ms,service_min_ms,service_max_ms,full_campaign_server_cpu_ms,full_campaign_server_cpu_per_answer_ms,native_cpu_outside_request_phases_ms,server_client_setup_ms,global_publish_build_cpu_ms,server_online_cpu_ms,external_canonical_fixture_cpu_ms,logical_index_bytes,metadata_state_bytes,client_setup_cpu_ms,client_online_cpu_ms,complete_client_process_cpu_ms,setup_download_bytes,query_upload_bytes,query_download_bytes,p50_first_answer_wall_ms,p95_first_answer_wall_ms,max_client_rss_bytes,rss_qualified,budget_failures,median_private_reads,projected_G1_cpu_ms,projected_G16_cpu_ms,projected_G256_cpu_ms,projected_G4096_cpu_ms
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,256,804,4096,1,,mizu-routing,5,2560,1.7214796601562499,1.7073513554687505,1.7821060117187506,1051.0062899999998,2.0527466601562496,37.042393000001425,151.0719825,171.61618099999998,1.131354728515625,0,3366912,869136,32.4350655,0.28580249999999996,172.426,6758286,122,52902,726.39355,760.550261,49733632,True,,1.0,173.33766066015625,12.447490972656249,2.3918553671874996,1.763378141845703
pir-indexed-use-cases-v1/campaign,singlepass,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,256,804,4096,1,,mizu-routing,5,2560,17.07949238867187,16.95861205859374,17.139730140624987,8909.648067999999,17.401656382812497,41.861780000010185,133.04237200000006,167.50370900000416,16.56277567382812,0,3363072,842577,36.1169525,2.5007444999999997,749.4105,6727888,112,841075,5137.420033,5195.944601,49676288,True,,1.0,184.58320138867603,27.54847420117213,17.733803751953136,17.120386848876947
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,1,804,65536,1,,mizu-routing,5,10,5.3187554999999795,5.0884170000000415,5.460746000000009,2927.5473410000004,1463.7736705000002,502.8579930000001,0.46597750000000004,2916.6258490000005,4.8763814999999795,0,53870592,174865,7.5473345,1.655954,71.28200000000001,174897,8274,13364,195.7797075,211.89949,31756288,True,,1.0,2921.9446045000004,187.6078710625,16.71182522265623,6.030822357665995
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,4,0,hashed,8,4,1,804,65536,1,,mizu-routing,5,10,5.140333999999946,4.811696000000007,5.18276300000003,2748.098964,1374.049482,486.12146899999993,0.2060545,2737.8713430000003,4.9342794999999455,0,53821440,43794,6.8349554999999995,0.707187,68.5335,43826,2130,52772,192.2723525,197.356172,30072832,True,,1.0,2743.0116770000004,176.25729293749995,15.835143933593697,5.808759620849555
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,1,804,65536,1,,mizu-routing,5,10,7.938995999999937,7.5818559999999655,7.990012000000025,2723.618707,1361.8093535,465.4303950000003,0.166595,2708.454995,7.785034499999938,0,53809152,11027,6.6685755,1.2524525,69.494,11059,594,210404,193.78535349999999,212.039894,30134272,True,,1.0,2716.393991,177.21743318749995,18.51889832421869,8.60023989526361
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,64,0,hashed,8,4,1,804,65536,1,,mizu-routing,5,10,20.984195999999983,20.88176199999998,21.752838499999992,2756.995498,1378.497749,468.6955899999996,0.153746,2715.165943,20.830449999999985,0,53806080,2836,6.61552,4.644921,72.8675,2868,210,840932,211.58981849999998,218.236678,31010816,True,,1.0,2736.150139,190.6820674375,31.590312964843733,21.647078310302717
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,1,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,0.7476029999999987,0.7221900000000006,1.0807234999999995,116.801137,58.4005685,19.283061000000004,0.1582345,115.305931,0.6073864999999987,0,2318336,11024,6.698,0.277221,69.375,11056,594,9266,186.103521,245.42859,29675520,True,,1.0,116.053534,7.954223687499999,1.1980167929687486,0.7757538620605455
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,4,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,1.2858655000000012,1.1830135000000017,1.3160410000000007,114.99011200000001,57.495056000000005,20.030333,0.14532050000000002,112.592967,1.1066160000000007,0,2315264,2831,6.6169744999999995,0.329128,69.6285,2863,210,36385,190.400536,221.419906,29614080,True,,1.0,113.8788325,8.3229259375,1.7256817773437512,1.3133540173339855
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,16,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,3.406247999999999,3.361711999999999,3.4202539999999986,116.949099,58.4745495,20.66882900000001,0.14585199999999998,110.108591,3.247147000000002,0,2314496,785,6.7129655,0.7411859999999999,69.894,817,114,144864,195.26057500000002,220.387646,29806592,True,,1.0,113.51483900000001,10.288034937499999,3.836359683593749,3.4331299802246082
pir-indexed-use-cases-v1/campaign,dense,32,,2,clustered,directory,4,64,0,0,64,0,hashed,8,4,1,548,4096,1,,shinzo-logs,5,10,12.065793,11.811993500000007,12.203298499999999,136.376192,68.188096,19.68591099999999,0.1451305,112.150478,11.9144155,0,2314304,275,6.729698,3.1962885,73.00999999999999,307,90,578782,204.863492,215.592228,30572544,True,,1.0,124.216271,19.075197875,12.5038808046875,12.093173487792969
